,device_model_name,selenium_download
448,Nexus 5,
449,ASUS_X00LDB,
450,TECNO IN1,
451,vivo 1725,
452,G3116,
453,HTC Desire 728 dual sim,
454,X1,
455,JKM-AL00a,
456,SM-N750,
457,YU5014,
458,Lenovo P1a42,
459,D,
460,Lenovo L38043,
461,ASUS_Z017DB,
462,Infinix X652B,
463,mobiistar C1,
464,Infinix X627V,
465,TECNO i3,
466,vivo Y21,
467,CPH1917,
468,LYA-L29,
469,LG-K520,
470,Infinix X625C,
471,NEM-L22,
472,Lenovo L18021,
473,SM-E500H,
474,LG-M250,
475,Infinix X603,
476,HTC Desire 628 dual sim,
477,SM-T285YD,
478,LS-4505,
479,Infinix X626B,
480,SM-J730F,
481,VOG-L29,
482,LDN-L21,
483,Z90,
484,D2502,
485,IF9001,
486,vivo V1,
487,LM-X210,
488,Micromax C1,
489,M7 Power,
490,ASUS_Z00UD,
491,SM-N900,
492,A1 Plus,
493,G3226,
494,Infinix X5515F,
495,Nexus 6P,
496,mobiistar C2,
497,Che1-L04,
498,Le X821,
499,SM-G980F,
500,MAR-LX2,
501,ONEPLUS A6003,
502,HTC Desire 10 pro,
503,XT1022,
504,motorola one,
505,YU5530,
506,LG-X230,
507,ASUS_X00LD,
508,Z61_2GB,
509,HTC Desire 828 dual sim,
510,LM-Q710.FGN,
511,Z60s,
512,X1S,
513,ASUS_Z00AD,
514,CPH1877,
515,INE-LX1,
516,F3116,
517,SM-N9208,
518,SM-G928G,
519,GIONEE X1,
520,F3216,
521,G2199,
522,Infinix X626,
523,Nokia 5.1,
524,Lenovo A2010-a,
525,ASUS_Z012DB,
526,Infinix X608,
527,JSN-L22,
528,BBG100-1,
529,SM-G960U1,
530,ZUK Z1,
531,Z70,
532,POCOPHONE F1,
533,ONEPLUS A6013,
534,Micromax Q427,
535,RNE-L21,
536,vivo Y15S,
537,SM-J510F,
538,SM-N9005,
539,Micromax Q4310,
540,Infinix X573B,
541,GIONEE P7,
542,SM-N920C,
543,Moto Z (2),
544,CPH1879,
545,YU5040,
546,C1 Lite,
547,Lenovo L38111,
548,Z80,
549,B5Pro,
550,M5_lite,
551,itel A44,
552,SM-G900H,
553,PRA-LA1,
554,Coolpad Y91-I00,
555,SM-G7102,
556,HTC Desire 626 dual sim,
557,LG-K535,
558,SM-T385,
559,Micromax Bharat 5,
560,DUB-LX1,
561,MotoE2(4G-LTE),
562,"iPhone5,4",
563,YU5010A,
564,Lenovo PB2-670M,
565,Micromax AQ5001,
566,TECNO IN1 Pro,
567,SM-G7202,
568,SM-G925F,
569,Lenovo A7700,
570,Infinix X5515I,
571,CP8676_I03,
572,TECNO ID5a,
573,INE-LX1r,
574,LS-5505,
575,LG-M400,
576,ASUS_X00DDB,
577,LM-V405,
578,ASUS_Z01BDB,
579,Infinix X625D,
580,TRT-L21A,
581,SM-G950U,
582,Z91,
583,itel L5503,
584,LG-K332,
585,HM NOTE 1LTE,
586,TECNO ID3k,
587,ELUGA X1,
588,IF9021,
589,Nexus 5X,
590,LS-4503,
591,MYA-L22,
592,Nokia 8 Sirocco,
593,F5122,
594,WAS-LX1A,
595,Lenovo L38012,
596,Redmi 5 Plus,
597,STK-L21,
598,YAL-AL00,
599,P100,
600,A77,
601,SM-G965U1,
602,Micromax Q372,
603,LS-5018,
604,Infinix X604B,
605,LMX130IM,
606,TECNO KC1,
607,ELUGA Ray X,
608,MI 4W,
609,D5322,
610,LG-H990,
611,SM-J200F,
612,Micromax Q402,
613,Redmi S2,
614,Coolpad COR-I0,
615,TECNO KB2j,
616,TRT-AL00,
617,T5211,
618,P5W,
619,Micromax Q426,
620,ELUGA Z1,
621,Micromax Q440,
622,mobiistar C1 Shine,
623,YU4711,
624,F103,
625,PAR-AL00,
626,SM-T355Y,
627,SM-G955U,
628,SM-A605F,
629,LS-5020,
630,1825,
631,TECNO IN6,
632,Micromax_HS3,
633,Z1,
634,Redmi 4X,
635,Lenovo X3a40,
636,P55 Max,
637,SM-N910G,
638,LAVA_A44,
639,Micromax Q417,
640,Redmi Note 5A,
641,SM-G360H,
642,P91,
643,"iPhone5,1",
644,D2302,
645,Micromax A106,
646,itel A23,
647,BBB100-7,
648,LS-5015,
649,VEN-L22,
650,SM-N910C,
651,SM-G988B,
652,SM-J600F,
653,DRA-LX2,
654,Micromax Q380,
655,BLN-L21,
656,Infinix X622,
657,CAM-L21,
658,ELUGA Ray Max,
659,SM-J111F,
660,Infinix X652,
661,Nokia 2.3,
662,Nexus 6,
663,GT-I9500,
664,FIG-LA1,
665,LS-5017,
666,SM-N950U,
667,A97 IPS,
668,SM-G355H,
669,itel A41 Plus,
670,Lenovo A1000,
671,ALE-L21,
672,CLT-L29,
673,SM-A500F,
674,E2363,
675,SM-G531H,
676,HM NOTE 1S,
677,TECNO CB7,
678,MAR-LX1M,
679,SM-T285,
680,T5524,
681,TECNO ID5b,
682,ione,
683,Micromax Q461,
684,A97,
685,BAC-L21,
686,Lenovo A6010,
687,ELUGA Ray 600,
688,HTC Desire 826 dual sim,
689,SM-G920F,
690,Z10,
691,Lenovo L19041,
692,Micromax C2APLS,
693,Lenovo S1a40,
694,Lenovo A2016a40,
695,GM1917,
696,Micromax Q4311,
697,Micromax Bharat 5 Plus,
698,Eluga_A2,
699,SM-A310F,
700,Micromax Q4202,
701,IF9003,
702,Micromax E481,
703,DLI-L42,
704,E5563,
705,itel S41,
706,vivo Y31,
707,Micromax Q4002,
708,SM-G955U1,
709,Micromax Q465,
710,P101,
711,Micromax E313,
712,LS-5002,
713,G8142,
714,Micromax E485,
715,Pixel 4,
716,itel A41,
717,TECNO i5 Pro,
718,SM-A300H,
719,TECNO IA5,
720,D2,
721,ASUS_T00J,
722,itel A44 Pro,
723,TECNO i3 Pro,
724,ATU-L31,
725,Hol-U19,
726,TECNO IN3,
